alpha;0.000239;beta;0.000000
msglen;tmin
16384.000000;0.000252
278272.000000;0.002693
540160.000000;0.004846
802048.000000;0.007068
1063936.000000;0.009219
1325824.000000;0.011515
1587712.000000;0.013687
1849600.000000;0.015957
2111488.000000;0.018123
2373376.000000;0.020398
2635264.000000;0.022647
2897152.000000;0.024847
3159040.000000;0.027137
3420928.000000;0.029293
3682816.000000;0.031583
3944704.000000;0.033739
4206592.000000;0.036030
4468480.000000;0.038255
4730368.000000;0.040478
4992256.000000;0.042700
5254144.000000;0.044919
5516032.000000;0.047182
5777920.000000;0.049364
6039808.000000;0.051594
6301696.000000;0.053807
6563584.000000;0.056100
6825472.000000;0.058252
7087360.000000;0.060541
7349248.000000;0.062767
7611136.000000;0.064991
7873024.000000;0.067211
8134912.000000;0.069407
8396800.000000;0.071655
8658688.000000;0.073857
8920576.000000;0.076103
9182464.000000;0.078320
9444352.000000;0.080557
9706240.000000;0.082766
9968128.000000;0.085024
10230016.000000;0.087203
10491904.000000;0.089441
10753792.000000;0.091655
11015680.000000;0.093923
11277568.000000;0.096101
11539456.000000;0.098383
11801344.000000;0.100613
12063232.000000;0.102835
12325120.000000;0.105057
12587008.000000;0.107279
12848896.000000;0.109502
13110784.000000;0.111696
13372672.000000;0.113936
13634560.000000;0.116170
13896448.000000;0.118391
14158336.000000;0.120611
14420224.000000;0.122863
14682112.000000;0.125055
14944000.000000;0.127279
15205888.000000;0.129501
15467776.000000;0.131730
15729664.000000;0.133945
15991552.000000;0.136175
16253440.000000;0.138384
16515328.000000;0.140678
