alpha;8.625024e-05;beta;1.012987e-08
msglen;tmin
0.000000e+00;4.050000e-05
2.560000e+02;8.700000e-05
5.120000e+02;1.155000e-04
7.680000e+02;1.155000e-04
1.024000e+03;1.145000e-04
1.280000e+03;1.145000e-04
1.536000e+03;1.190000e-04
1.792000e+03;1.335000e-04
2.048000e+03;1.185000e-04
2.304000e+03;1.115000e-04
2.560000e+03;1.005000e-04
2.816000e+03;1.115000e-04
3.072000e+03;1.115000e-04
3.328000e+03;1.090000e-04
3.584000e+03;1.160000e-04
3.840000e+03;1.160000e-04
4.096000e+03;1.205000e-04
4.352000e+03;1.315000e-04
4.608000e+03;1.350000e-04
4.864000e+03;1.330000e-04
5.120000e+03;1.295000e-04
5.376000e+03;1.210000e-04
5.632000e+03;1.210000e-04
5.888000e+03;1.215000e-04
6.144000e+03;1.235000e-04
6.400000e+03;1.885000e-04
6.656000e+03;1.915000e-04
6.912000e+03;1.880000e-04
7.168000e+03;1.430000e-04
7.424000e+03;1.540000e-04
7.680000e+03;1.495000e-04
7.936000e+03;1.535000e-04
8.192000e+03;1.870000e-04
8.448000e+03;1.885000e-04
8.704000e+03;1.855000e-04
8.960000e+03;1.880000e-04
9.216000e+03;1.885000e-04
9.472000e+03;1.790000e-04
9.728000e+03;1.890000e-04
9.984000e+03;1.920000e-04
1.024000e+04;1.910000e-04
1.049600e+04;1.890000e-04
1.075200e+04;1.880000e-04
1.100800e+04;1.920000e-04
1.126400e+04;1.830000e-04
1.152000e+04;1.885000e-04
1.177600e+04;1.905000e-04
1.203200e+04;1.900000e-04
1.228800e+04;1.905000e-04
1.254400e+04;1.895000e-04
1.280000e+04;1.915000e-04
1.305600e+04;1.915000e-04
1.331200e+04;1.965000e-04
1.356800e+04;2.005000e-04
1.382400e+04;1.995000e-04
1.408000e+04;2.595000e-04
1.433600e+04;2.595000e-04
1.459200e+04;2.590000e-04
1.484800e+04;2.590000e-04
1.510400e+04;2.605000e-04
1.536000e+04;2.605000e-04
1.561600e+04;2.600000e-04
1.587200e+04;2.625000e-04
1.612800e+04;2.595000e-04
